1|valeriya_okseniuk|На подорожі
2|yuliya_sobolivska|На море
3|valeriya_okseniuk|На взуття
4|yuliya_sobolivska|На подорож
5|naskalnaya_olya|На осенний шоппинг 🍂😍
6|valeriya_okseniuk|На сукні
7|lyudmilamelnik|на подарунки під ялинку🎁🎄
8|yuliya_sobolivska|На відпочинок в Карпатах
9|valeriya_okseniuk|На прикраси
10|yuliya_sobolivska|На новий телефон
11|valeriya_okseniuk|На курси стиліста
12|yuliya_sobolivska|На мрію
13|yuliya_sobolivska|Мамі на подарунок
14|serdtsekol|спецтранспорт
15|aniutka__v|Робимо ремонт квартири
16|lyudmilamelnik|на подорож з синулькою і чоловіком✈️🤗🤗🤗
17|roma_vavr|лихвар
18|valeriya_okseniuk|Це не реально виграти, знайте це❤️
19|mariiasee|Ну дуууужеее потрібні😑
20|lyudmilamelnik|на відпочинок з синуліком і чоловіком✈️🤗🤗
21|ferens_sf|селеноводневмісний
22|aniutka__v|Відпочинок
23|lyudmilamelnik|на подарунки під ялинку🎄
24|marta_moon_|На синочка
25|lili__semenenko|На відпочинок
26|marta_moon_|Для сина
27|marta_moon_|Для родини
28|yuliya_sobolivska|На осінній одяг
29|j.u.l.i.a.bond|На курси 🇬🇧
30|yuliya_sobolivska|На косметику
31|natiko_t|Буде свявто
32|marta_moon_|Все для дитини
33|yuliya_sobolivska|На дитинку
34|lyudmilamelnik|на відпочинок з синуліком і чоловіком✈️🤗🤗
35|serdtsekol|химородний
36|roma_vavr|сурмлений
37|lyudmilamelnik|на подарунки🎁
38|marta_moon_|Для дитини
39|naskalnaya_olya|Хочу в Венецию ⛵️
40|natiko_t|На навчання
41|marta_moon_|Для синочка
42|virka___|Дуже хочу🙏🏻✨
43|marta_moon_|Для синульки
44|marta_moon_|Все на синульку
45|marta_moon_|Для сина
46|marta_moon_|Для дитини
47|ferens_sf|можновладність
48|victoriasergiyivna|На одяг
49|victoriasergiyivna|На мрію
50|victoriasergiyivna|На себе
51|victoriasergiyivna|На навчання
52|babij.marta|На подорож 😍
53|victoriasergiyivna|На море
54|marta_moon_|Дитині все
55|victoriasergiyivna|На подарунки
56|marta_moon_|Дуже хочу
57|bobuk.olena|Ola🍁
58|victoriasergiyivna|На телефон
59|lynnyk_alina|На квіти 💖
60|marta_moon_|Дуже дуже хочу
61|bobuk.olena|Hello💐💐
62|taniagrinchuk9030|На відпочинок
63|alionarozhko|На білосніжну посмішку 🙈
64|mari_sitnyk|На релакс
65|lyudmilamelnik|на подарунки🎁
66|marta_moon_|Хочу перемоги
67|taniagrinchuk9030|На відпочинок
68|bobuk.olena|Lucky🍀
69|juliakyba|на круїз
70|bobuk.olena|Kiss😘
71|bobuk.olena|Love😍
72|lyudmilamelnik|на подорож✈️
73|marta_moon_|Дуже хочу виграти
74|bobuk.olena|Ok👍
75|roma_vavr|ломик
76|serdtsekol|чинність
77|marta_moon_|Для синочка
78|natiko_t|На дітей
79|marta_moon_|На сина
80|alionarozhko|На нездійсненні бажання🙌🏻
81|lyudmila_zholonkovskaya|Кровать ребенку🙂
82|marta_moon_|На дитину
83|marta_moon_|Все для синочка
84|marta_moon_|Для дитини все
85|marina.igorevna_|Просто хочу
86|marina.igorevna_|На памперсы)
87|ferens_sf|лаконічність
88|marina.igorevna_|На вкусняшки)
89|natiko_t|На відпочинок
90|marina.igorevna_|На подарочек)
91|marina.igorevna_|На поездку)
92|juliakyba|На подарунок чоловіку)
93|juliakyba|На шопінг
94|juliakyba|На шопінг
95|marina.igorevna_|На смартфон)
96|marina.igorevna_|На планшет)
97|roma_vavr|конструктивна повна загибель
98|juliakyba|На розвиток власного бренду
99|serdtsekol|лотос
100|ruslanakoflan|Виграш потрачу па поїздку!
101|juliakyba|На день народження своє😃
102|mashasvint|На відпочинок)
103|juliakyba|На навчання
104|juliakyba|На сім'ю
105|mashasvint|Поїду в подорож))
106|juliakyba|Мамі на подарок
107|elvira_vovchenko|На путешествие 😍
108|mashasvint|Подорож
109|ferens_sf|аве марія
110|juliakyba|Треба нова шуба
111|mashasvint|На подорож😁😁😁
112|juliakyba|На чоловіка)
113|juliakyba|На опалення)
114|77aleska77|Дуже вірю, що мрія здійсниться!!!!
115|roma_vavr|строщений
116|ivanka_lazorko|Хочу ці гроші для своєї сім'ї😍
117|ruslanakoflan|Витрачу на шопінг!
118|juliavoytovych|На вирішення фінансових проблем
119|serdtsekol|систола
120|juliavoytovych|Та на шопінг
121|mashasvint|Відпочивати в теплі краї))
122|annamariaarzymanian|Треба гроші Настали бідні часи
123|yuliya_sobolivska|На новий телефон
124|mashasvint|На подорож
125|yuliya_sobolivska|На подорож
126|yuliya_sobolivska|На мрію
127|yuliya_sobolivska|На бізнес
128|maksim.soprun|На ремонт ❤️
129|77aleska77|На мрії і бажання своєї сім'ї. Дуже вірю, що зможу їх здійснити хоч трішки.
130|m_savanchuk|Віддав би Мамі на ремонт:)
131|alionarozhko|На курси англійської!
132|yuliya_sobolivska|На декор для дому
133|annamariaarzymanian|Хочу виграти дужеее
134|lynnyk_alina|На прикраси
135|ruslanakoflan|Хочу витратити на поїздку до Італії!
136|juliakyba|Свекрусі на сережки🤗
137|77aleska77|Бажаю собі перемоги!!! Вірю в удачу!!!
138|juliakyba|Мамі на ще одну шубу
139|ferens_sf|страшетний
140|viktoriia_skorohid_|Фотоапарат
141|mashasvint|Поїдемо з чоловіком в подорож 😍
142|yuliya_sobolivska|На відпочинок
143|roma_vavr|мікроіонофорез
144|viktoriia_skorohid_|Новий телефон
145|77aleska77|Щиро ві, що удача посміхнеться!!! 😍😍😍
146|_nevhorosheva_|На путешествие
147|yuliya_sobolivska|На косметику
148|grabovsk_a|✈ подорож🙏
